بازیچۂ اطفال
ہے غیر
غیر کو
کو آزمائے
آزمائے کیوں
واں وہ
وہ غرور
غرور عز
عز ناز
ناز یاں
یاں یہ
یہ حجاب
حجاب پاس
پاس وضع
راہ میں
میں ہم
ہم ملیں
ملیں کہاں
کہاں بزم
بزم میں
میں وہ
وہ بلائے
بلائے کیوں
ہاں وہ
وہ نہیں
نہیں خدا
خدا پرست
پرست جاؤ
جاؤ وہ
وہ بے
بے وفا
وفا سہی
جس کو
کو ہو
ہو دین
دین دل
دل عزیز
عزیز اس
اس کی
کی گلی
گلی میں
میں جائے
جائے کیوں
غالبؔ خستہ
خستہ کے
کے بغیر
بغیر کون
کون سے
سے کام
کام بند
بند ہیں
روئیے زار
زار زار
زار کیا
کیا کیجیے
کیجیے ہائے
ہائے ہائے
ہائے کیوں
ہر ایک
ایک بات
بات پہ
پہ کہتے
کہتے ہو
ہو تم
تم کہ
کہ تو
تو کیا
کیا ہے
تمہیں کہو
کہو کہ
کہ یہ
یہ انداز
انداز گفتگو
گفتگو کیا
کیا ہے
نہ شعلہ
شعلہ میں
میں یہ
یہ کرشمہ
کرشمہ نہ
نہ برق
برق میں
میں یہ
یہ ادا
کوئی بتاؤ
بتاؤ کہ
کہ وہ
وہ شوخ
شوخ تند
تند خو
خو کیا
کیا ہے
یہ رشک
رشک ہے
ہے کہ
کہ وہ
وہ ہوتا
ہوتا ہے
ہے ہم
ہم سخن
سخن تم
تم سے
وگرنہ خوف
خوف بد
بد آموزی
آموزی عدو
عدو کیا
کیا ہے
چپک رہا
رہا ہے
ہے بدن
بدن پر
پر لہو
لہو سے
سے پیراہن
ہمارے جیب
جیب کو
کو اب
اب حاجت
حاجت رفو
رفو کیا
کیا ہے
جلا ہے
ہے جسم
جسم جہاں
جہاں دل
دل بھی
بھی جل
جل گیا
گیا ہوگا
کریدتے ہو
ہو جو
جو اب
اب راکھ
راکھ جستجو
جستجو کیا
کیا ہے
رگوں میں
میں دوڑتے
دوڑتے پھرنے
پھرنے کے
کے ہم
ہم نہیں
نہیں قائل
جب آنکھ
آنکھ ہی
ہی سے
سے نہ
نہ ٹپکا
ٹپکا تو
تو پھر
پھر لہو
لہو کیا
کیا ہے
وہ چیز
چیز جس
جس کے
کے لیے
لیے ہم
ہم کو
کو ہو
ہو بہشت
بہشت عزیز
سوائے بادۂ
بادۂ گلفام
گلفام مشک
مشک بو
بو کیا
کیا ہے
پیوں شراب
شراب اگر
اگر خم
خم بھی
بھی دیکھ
دیکھ لوں
لوں دو
دو چار
یہ شیشہ
شیشہ قدح
قدح کوزہ
کوزہ سبو
سبو کیا
کیا ہے
رہی نہ
نہ طاقت
طاقت گفتار
گفتار اور
اور اگر
اگر ہو
ہو بھی
تو کس
کس امید
امید پہ
پہ کہیے
کہیے کہ
کہ آرزو
آرزو کیا
کیا ہے
ہوا ہے
ہے شہہ
شہہ کا
کا مصاحب
مصاحب پھرے
پھرے ہے
ہے اتراتا
وگرنہ شہر
شہر میں
میں غالبؔ
غالبؔ کی
کی آبرو
آبرو کیا
کیا ہے
یہ نہ
نہ تھی
تھی ہماری
ہماری قسمت
قسمت کہ
کہ وصال
وصال یار
یار ہوتا
اگر اور
اور جیتے
جیتے رہتے
رہتے یہی
یہی انتظار
انتظار ہوتا
ترے وعدے
وعدے پر
پر جیے
جیے ہم
ہم تو
تو یہ
یہ جان
جان جھوٹ
جھوٹ جانا
کہ خوشی
خوشی سے
سے مر
مر نہ
نہ جاتے
جاتے اگر
اگر اعتبار
اعتبار ہوتا
تری نازکی
نازکی سے
سے جانا
جانا کہ
کہ بندھا
بندھا تھا
تھا عہد
عہد بودا
کبھی تو
تو نہ
نہ توڑ
توڑ سکتا
سکتا اگر
اگر استوار
استوار ہوتا
کوئی میرے
میرے دل
دل سے
سے پوچھے
پوچھے ترے
ترے تیر
تیر نیم
نیم کش
کش کو
یہ خلش
خلش کہاں
کہاں سے
سے ہوتی
ہوتی جو
جو جگر
جگر کے
کے پار
پار ہوتا
یہ کہاں
کہاں کی
کی دوستی
دوستی ہے
ہے کہ
کہ بنے
بنے ہیں
ہیں دوست
دوست ناصح
کوئی چارہ
چارہ ساز
ساز ہوتا
ہوتا کوئی
کوئی غم
غم گسار
گسار ہوتا
رگ سنگ
سنگ سے
سے ٹپکتا
ٹپکتا وہ
وہ لہو
لہو کہ
کہ پھر
پھر نہ
نہ تھمتا
جسے غم
غم سمجھ
سمجھ رہے
رہے ہو
ہو یہ
یہ اگر
اگر شرار
شرار ہوتا
غم اگرچہ
اگرچہ جاں
جاں گسل
گسل ہے
ہے پہ
پہ کہاں
کہاں بچیں
بچیں کہ
کہ دل
دل ہے
غم عشق
عشق گر
گر نہ
نہ ہوتا
ہوتا غم
غم روزگار
روزگار ہوتا
کہوں کس
کس سے
سے میں
میں کہ
کہ کیا
کیا ہے
ہے شب
شب غم
غم بری
بری بلا
بلا ہے
مجھے کیا
کیا برا
برا تھا
تھا مرنا
مرنا اگر
اگر ایک
ایک بار
بار ہوتا
ہوئے مر
مر کے
کے ہم
ہم جو
جو رسوا
رسوا ہوئے
ہوئے کیوں
کیوں نہ
نہ غرق
غرق دریا
نہ کبھی
کبھی جنازہ
جنازہ اٹھتا
اٹھتا نہ
نہ کہیں
کہیں مزار
مزار ہوتا
اسے کون
کون دیکھ
دیکھ سکتا
سکتا کہ
کہ یگانہ
یگانہ ہے
ہے وہ
وہ یکتا
جو دوئی
دوئی کی
کی بو
بو بھی
بھی ہوتی
ہوتی تو
تو کہیں
کہیں دو
دو چار
چار ہوتا
یہ مسائل
مسائل تصوف
تصوف یہ
یہ ترا
ترا بیان
بیان غالبؔ
تجھے ہم
ہم ولی
ولی سمجھتے
سمجھتے جو
جو نہ
نہ بادہ
بادہ خوار
خوار ہوتا
کوئی امید
امید بر
بر نہیں
نہیں آتی
کوئی صورت
صورت نظر
نظر نہیں
نہیں آتی
موت کا
کا ایک
ایک دن
دن معین
معین ہے
نیند کیوں
کیوں رات
رات بھر
بھر نہیں
نہیں آتی
آگے آتی
آتی تھی
تھی حال
حال دل
دل پہ
پہ ہنسی
اب کسی
کسی بات
بات پر
پر نہیں
نہیں آتی
جانتا ہوں
ہوں ثواب
ثواب طاعت
طاعت زہد
پر طبیعت
طبیعت ادھر
ادھر نہیں
نہیں آتی
ہے کچھ
کچھ ایسی
ایسی ہی
ہی بات
بات جو
جو چپ
چپ ہوں
ورنہ کیا
کیا بات
بات کر
کر نہیں
نہیں آتی
کیوں نہ
نہ چیخوں
چیخوں کہ
کہ یاد
یاد کرتے
کرتے ہیں
میری آواز
آواز گر
گر نہیں
نہیں آتی
داغ دل
دل گر
گر نظر
نظر نہیں
نہیں آتا
بو بھی
بھی اے
اے چارہ
چارہ گر
گر نہیں
نہیں آتی
ہم وہاں
وہاں ہیں
ہیں جہاں
جہاں سے
سے ہم
ہم کو
کو بھی
کچھ ہماری
ہماری خبر
خبر نہیں
نہیں آتی
مرتے ہیں
ہیں آرزو
آرزو میں
میں مرنے
مرنے کی
موت آتی
آتی ہے
ہے پر
پر نہیں
نہیں آتی
کعبہ کس
کس منہ
منہ سے
سے جاوگے
جاوگے غالبؔ
شرم تم
تم کو
کو مگر
مگر نہیں
نہیں آتی
ہزاروں خواہشیں
خواہشیں ایسی
ایسی کہ
کہ ہر
ہر خواہش
خواہش پہ
پہ دم
دم نکلے
بہت نکلے
نکلے مرے
مرے ارمان
ارمان لیکن
لیکن پھر
پھر بھی
بھی کم
کم نکلے
ڈرے کیوں
کیوں میرا
میرا قاتل
قاتل کیا
کیا رہے
رہے گا
گا اس
اس کی
کی گردن
گردن پر
وہ خوں
خوں جو
جو چشم
چشم تر
تر سے
سے عمر
عمر بھر
بھر یوں
یوں دم
دم بدم
بدم نکلے
نکلنا خلد
خلد سے
سے آدم
آدم کا
کا سنتے
سنتے آئے
آئے ہیں
ہیں لیکن
بہت بے
بے آبرو
آبرو ہو
ہو کر
کر ترے
ترے کوچے
کوچے سے
سے ہم
ہم نکلے
بھرم کھل
کھل جائے
جائے ظالم
ظالم تیرے
تیرے قامت
قامت کی
کی درازی
درازی کا
اگر اس
اس طرۂ
طرۂ پر
پر پیچ
پیچ خم
خم کا
کا پیچ
پیچ خم
خم نکلے
مگر لکھوائے
لکھوائے کوئی
کوئی اس
اس کو
کو خط
خط تو
تو ہم
ہم سے
سے لکھوائے
ہوئی صبح
صبح اور
اور گھر
گھر سے
سے کان
کان پر
پر رکھ
رکھ کر
کر قلم
قلم نکلے
ہوئی اس
اس دور
دور میں
میں منسوب
منسوب مجھ
مجھ سے
سے بادہ
بادہ آشامی
پھر آیا
آیا وہ
وہ زمانہ
زمانہ جو
جو جہاں
جہاں میں
میں جام
جام جم
جم نکلے
ہوئی جن
جن سے
سے توقع
توقع خستگی
خستگی کی
کی داد
داد پانے
پانے کی
وہ ہم
ہم سے
سے بھی
بھی زیادہ
زیادہ خستۂ
خستۂ تیغ
تیغ ستم
ستم نکلے
محبت میں
میں نہیں
نہیں ہے
ہے فرق
فرق جینے
جینے اور
اور مرنے
مرنے کا
اسی کو
کو دیکھ
دیکھ کر
کر جیتے
جیتے ہیں
ہیں جس
جس کافر
کافر پہ
پہ دم
دم نکلے
کہاں مے
مے خانہ
خانہ کا
کا دروازہ
دروازہ غالبؔ
غالبؔ اور
اور کہاں
کہاں واعظ
پر اتنا
اتنا جانتے
جانتے ہیں
ہیں کل
کل وہ
وہ جاتا
جاتا تھا
تھا کہ
کہ ہم
ہم نکلے
دل ناداں
ناداں تجھے
تجھے ہوا
ہوا کیا
کیا ہے
آخر اس
اس درد
درد کی
کی دوا
دوا کیا
کیا ہے
ہم ہیں
ہیں مشتاق
مشتاق اور
اور وہ
وہ بیزار
یا الٰہی
الٰہی یہ
یہ ماجرا
ماجرا کیا
کیا ہے
میں بھی
بھی منہ
منہ میں
میں زبان
زبان رکھتا
رکھتا ہوں
کاش پوچھو
پوچھو کہ
کہ مدعا
مدعا کیا
کیا ہے
جب کہ
کہ تجھ
تجھ بن
بن نہیں
نہیں کوئی
کوئی موجود
پھر یہ
یہ ہنگامہ
ہنگامہ اے
اے خدا
خدا کیا
کیا ہے
یہ پری
پری چہرہ
چہرہ لوگ
لوگ کیسے
کیسے ہیں
غمزہ عشوہ
عشوہ ادا
ادا کیا
کیا ہے
شکن زلف
زلف عنبریں
عنبریں کیوں
کیوں ہے
نگہ چشم
چشم سرمہ
سرمہ سا
سا کیا
کیا ہے
سبزہ گل
گل کہاں
کہاں سے
سے آئے
آئے ہیں
ابر کیا
کیا چیز
چیز ہے
ہے ہوا
ہوا کیا
کیا ہے
ہم کو
کو ان
ان سے
سے وفا
وفا کی
کی ہے
ہے امید
جو نہیں
نہیں جانتے
جانتے وفا
وفا کیا
کیا ہے
ہاں بھلا
بھلا کر
کر ترا
ترا بھلا
بھلا ہوگا
اور درویش
درویش کی
کی صدا
صدا کیا
کیا ہے
جان تم
تم پر
پر نثار
نثار کرتا
کرتا ہوں
میں نہیں
نہیں جانتا
جانتا دعا
دعا کیا
کیا ہے
میں نے
نے مانا
مانا کہ
کہ کچھ
کچھ نہیں
نہیں غالبؔ
مفت ہاتھ
ہاتھ آئے
آئے تو
تو برا
برا کیا
کیا ہے
آہ کو
کو چاہیے
چاہیے اک
اک عمر
عمر اثر
اثر ہوتے
ہوتے تک
کون جیتا
جیتا ہے
ہے تری
تری زلف
زلف کے
کے سر
سر ہوتے
ہوتے تک
دام ہر
ہر موج
موج میں
میں ہے
ہے حلقۂ
حلقۂ صد
صد کام
کام نہنگ
دیکھیں کیا
کیا گزرے
گزرے ہے
ہے قطرے
قطرے پہ
پہ گہر
گہر ہوتے
ہوتے تک
عاشقی صبر
صبر طلب
طلب اور
اور تمنا
تمنا بیتاب
دل کا
کا کیا
کیا رنگ
رنگ کروں
کروں خون
خون جگر
جگر ہوتے
ہوتے تک
تا قیامت
قیامت شب
شب فرقت
فرقت میں
میں گزر
گزر جائے
جائے گی
گی عمر
سات دن
دن ہم
ہم پہ
پہ بھی
بھی بھاری
بھاری ہیں
ہیں سحر
سحر ہوتے
ہوتے تک
ہم نے
نے مانا
مانا کہ
کہ تغافل
تغافل نہ
نہ کرو
کرو گے
گے لیکن
خاک ہو
ہو جائیں
جائیں گے
گے ہم
ہم تم
تم کو
کو خبر
خبر ہوتے
ہوتے تک
پرتو خور
خور سے
سے ہے
ہے شبنم
شبنم کو
کو فنا
فنا کی
کی تعلیم
میں بھی
بھی ہوں
ہوں ایک
ایک عنایت
عنایت کی
کی نظر
نظر ہوتے
ہوتے تک
یک نظر
نظر بیش
بیش نہیں
نہیں فرصت
فرصت ہستی
ہستی غافل
گرمیٔ بزم
بزم ہے
ہے اک
اک رقص
رقص شرر
شرر ہوتے
ہوتے تک
غم ہستی
ہستی کا
کا اسدؔ
اسدؔ کس
کس سے
سے ہو
ہو جز
جز مرگ
مرگ علاج
شمع ہر
ہر رنگ
رنگ میں
میں جلتی
جلتی ہے
ہے سحر
سحر ہوتے
ہوتے تک
بزم شاہنشاہ
شاہنشاہ میں
میں اشعار
اشعار کا
کا دفتر
دفتر کھلا
رکھیو یا
یا رب
رب یہ
یہ در
در گنجینۂ
گنجینۂ گوہر
گوہر کھلا
شب ہوئی
ہوئی پھر
پھر انجم
انجم رخشندہ
رخشندہ کا
کا منظر
منظر کھلا
اس تکلف
تکلف سے
سے کہ
کہ گویا
گویا بت
بت کدے
کدے کا
کا در
در کھلا
گرچہ ہوں
ہوں دیوانہ
دیوانہ پر
پر کیوں
کیوں دوست
دوست کا
کا کھاؤں
کھاؤں فریب
آستیں میں
میں دشنہ
دشنہ پنہاں
پنہاں ہاتھ
ہاتھ میں
میں نشتر
نشتر کھلا
گو نہ
نہ سمجھوں
سمجھوں اس
اس کی
کی باتیں
باتیں گو
گو نہ
نہ پاؤں
پاؤں اس
اس کا
کا بھید
پر یہ
یہ کیا
کیا کم
کم ہے
ہے کہ
کہ مجھ
مجھ سے
سے وہ
وہ پری
پری پیکر
پیکر کھلا
ہے خیال
خیال حسن
حسن میں
میں حسن
حسن عمل
عمل کا
کا سا
سا خیال
خلد کا
کا اک
اک در
در ہے
ہے میری
میری گور
گور کے
کے اندر
اندر کھلا
منہ نہ
نہ کھلنے
کھلنے پر
پر ہے
ہے وہ
وہ عالم
عالم کہ
کہ دیکھا
دیکھا ہی
ہی نہیں
زلف سے
سے بڑھ
بڑھ کر
کر نقاب
نقاب اس
اس شوخ
شوخ کے
کے منہ
منہ پر
پر کھلا
در پہ
پہ رہنے
رہنے کو
کو کہا
کہا اور
اور کہہ
کہہ کے
کے کیسا
کیسا پھر
پھر گیا
جتنے عرصے
عرصے میں
میں مرا
مرا لپٹا
لپٹا ہوا
ہوا بستر
بستر کھلا
کیوں اندھیری
اندھیری ہے
ہے شب
شب غم
غم ہے
ہے بلاؤں
بلاؤں کا
کا نزول
آج ادھر
ادھر ہی
ہی کو
کو رہے
رہے گا
گا دیدۂ
دیدۂ اختر
اختر کھلا
کیا رہوں
رہوں غربت
غربت میں
میں خوش
خوش جب
جب ہو
ہو حوادث
حوادث کا
کا یہ
یہ حال
نامہ لاتا
لاتا ہے
ہے وطن
وطن سے
سے نامہ
نامہ بر
بر اکثر
اکثر کھلا
اس کی
کی امت
امت میں
میں ہوں
ہوں میں
میں میرے
میرے رہیں
رہیں کیوں
کیوں کام
کام بند
واسطے جس
جس شہہ
شہہ کے
کے غالبؔ
غالبؔ گنبد
گنبد بے
بے در
در کھلا
ایک ایک
ایک قطرہ
قطرہ کا
کا مجھے
مجھے دینا
دینا پڑا
پڑا حساب
خون جگر
جگر ودیعت
ودیعت مژگان
مژگان یار
یار تھا
اب میں
میں ہوں
ہوں اور
اور ماتم
ماتم یک
یک شہر
شہر آرزو
توڑا جو
جو تو
تو نے
نے آئنہ
آئنہ تمثال
تمثال دار
دار تھا
گلیوں میں
میں میری
میری نعش
نعش کو
کو کھینچے
کھینچے پھرو
پھرو کہ
کہ میں
جاں دادۂ
دادۂ ہوائے
ہوائے سر
سر رہ
رہ گزار
گزار تھا
موج سراب
سراب دشت
دشت وفا
وفا کا
کا نہ
نہ پوچھ
پوچھ حال
ہر ذرہ
ذرہ مثل
مثل جوہر
جوہر تیغ
تیغ آب
آب دار
دار تھا
کم جانتے
جانتے تھے
تھے ہم
ہم بھی
بھی غم
غم عشق
عشق کو
کو پر
پر اب
دیکھا تو
تو کم
کم ہوے
ہوے پہ
پہ غم
غم روزگار
روزگار تھا
کس کا
کا جنون
جنون دید
دید تمنا
تمنا شکار
شکار تھا
آئینہ خانہ
خانہ وادی
وادی جوہر
جوہر غبار
غبار تھا
کس کا
کا خیال
خیال آئنۂ
آئنۂ انتظار
انتظار تھا
ہر برگ
برگ گل
گل کے
کے پردے
پردے میں
میں دل
دل بے
بے قرار
قرار تھا
جوں غنچہ
غنچہ گل
گل آفت
آفت فال
فال نظر
نظر نہ
نہ پوچھ
پیکاں سے
سے تیرے
تیرے جلوۂ
جلوۂ زخم
زخم آشکار
آشکار تھا
دیکھی وفاۓ
وفاۓ فرصت
فرصت رنج
رنج نشاط
نشاط دہر
خمیازہ یک
یک درازی
درازی عمر
عمر خمار
خمار تھا
صبح قیامت
قیامت ایک
ایک دم
دم گرگ
گرگ تھی
تھی اسدؔ
جس دشت
دشت میں
میں وہ
وہ شوخ
شوخ دو
دو عالم
عالم شکار
شکار تھا
آئینہ دیکھ
دیکھ اپنا
اپنا سا
سا منہ
منہ لے
لے کے
کے رہ
رہ گئے
صاحب کو
کو دل
دل نہ
نہ دینے
دینے پہ
پہ کتنا
کتنا غرور
غرور تھا
قاصد کو
کو اپنے
اپنے ہاتھ
ہاتھ سے
سے گردن
گردن نہ
نہ ماریے
اس کی
کی خطا
خطا نہیں
نہیں ہے
ہے یہ
یہ میرا
میرا قصور
قصور تھا
ضعف جنوں
جنوں کو
کو وقت
وقت تپش
تپش در
در بھی
بھی دور
دور تھا
اک گھر
گھر میں
میں مختصر
مختصر بیاباں
بیاباں ضرور
ضرور تھا
اے وائے
وائے غفلت
غفلت نگۂ
نگۂ شوق
شوق ورنہ
ورنہ یاں
ہر پارہ
پارہ سنگ
سنگ لخت
لخت دل
دل کوہ
کوہ طور
طور تھا
درس تپش
تپش ہے
ہے برق
برق کو
کو اب
اب جس
جس کے
کے نام
نام سے
وہ دل
دل ہے
ہے یہ
یہ کہ
کہ جس
جس کا
کا تخلص
تخلص صبور
صبور تھا
ہر رنگ
رنگ میں
میں جلا
جلا اسدؔ
اسدؔ فتنہ
فتنہ انتظار
پروانۂ تجلی
تجلی شمع
شمع ظہور
ظہور تھا
شاید کہ
کہ مر
مر گیا
گیا ترے
ترے رخسار
رخسار دیکھ
دیکھ کر
پیمانہ رات
رات ماہ
ماہ کا
کا لبریز
لبریز نور
نور تھا
جنت ہے
ہے تیری
تیری تیغ
تیغ کے
کے کشتوں
کشتوں کی
کی منتظر
جوہر سواد
سواد جلوۂ
جلوۂ مژگان
مژگان حور
حور تھا
یہ نہیں
نہیں ہو
ہو سکتا
سکتا کہ
کہ ملک
ملک کو
کو دستور
دستور سےرکھ
سےرکھ کر
کر محروم
بدقسمت ملک
ملک کو
کو پہلےبقاوسلامتی
پہلےبقاوسلامتی سےدور
سےدور کردیا
کردیا جائے
پھر بےضابطہ
بےضابطہ ومن
ومن مانی
مانی آئینی
آئینی اس
اس میں
میں ردوبدل
ردوبدل کرکے
باقیات ملک
ملک کو
کو بہ
بہ مطابق
مطابق دستور
دستور چکناچور
چکناچور کردیا
کردیا جائے
جراحت تحفہ
تحفہ الماس
الماس ارمغاں
ارمغاں داغ
داغ جگر
جگر ہدیہ
مبارک باد
باد اسدؔ
اسدؔ غم
غم خوار
خوار جان
جان دردمند
دردمند آیا
جنوں گرم
گرم انتظار
انتظار نالہ
نالہ بیتابی
بیتابی کمند
کمند آیا
سویدا تا
تا بلب
بلب زنجیری
زنجیری دود
دود سپند
سپند آیا
مہ اختر
اختر فشاں
فشاں کی
کی بہر
بہر استقبال
استقبال آنکھوں
آنکھوں سے
تماشا کشور
کشور آئینہ
آئینہ میں
میں آئینہ
آئینہ بند
بند آیا
تغافل بدگمانی
بدگمانی بلکہ
بلکہ میری
میری سخت
سخت جانی
جانی سے
نگاہ بے
بے حجاب
حجاب ناز
ناز کو
کو بیم
بیم گزند
گزند آیا
فضائے خندۂ
خندۂ گل
گل تنگ
تنگ ذوق
ذوق عیش
عیش بے
بے پردا
فراغت گاہ
گاہ آغوش
آغوش وداع
وداع دل
دل پسند
پسند آیا
عدم ہے
ہے خیر
خیر خواہ
خواہ جلوہ
جلوہ کو
کو زندان
زندان بیتابی
خرام ناز
ناز برق
برق خرمن
خرمن سعی
سعی سپند
سپند آیا
محرم نہیں
نہیں ہے
ہے تو
تو ہی
ہی نوا
نوا ہائے
ہائے راز
راز کا
یاں ورنہ
ورنہ جو
جو حجاب
حجاب ہے
ہے پردہ
پردہ ہے
ہے ساز
ساز کا
رنگ شکستہ
شکستہ صبح
صبح بہار
بہار نظارہ
نظارہ ہے
یہ وقت
وقت ہے
ہے شگفتن
شگفتن گل
گل ہائے
ہائے ناز
ناز کا
تو اور
اور سوئے
سوئے غیر
غیر نظر
نظر ہائے
ہائے تیز
تیز تیز
میں اور
اور دکھ
دکھ تری
تری مژہ
مژہ ہائے
ہائے دراز
دراز کا
صرفہ ہے
ہے ضبط
ضبط آہ
آہ میں
میں میرا
میرا وگرنہ
وگرنہ میں
طعمہ ہوں
ہوں ایک
ایک ہی
ہی نفس
نفس جاں
جاں گداز
گداز کا
ہیں بسکہ
بسکہ جوش
جوش بادہ
بادہ سے
سے شیشے
شیشے اچھل
اچھل رہے
ہر گوشۂ
گوشۂ بساط
بساط ہے
ہے سر
سر شیشہ
شیشہ باز
باز کا
کاوش کا
کا دل
دل کرے
کرے ہے
ہے تقاضا
تقاضا کہ
کہ ہے
ہے ہنوز
ناخن پہ
پہ قرض
قرض اس
اس گرہ
گرہ نیم
نیم باز
باز کا
تاراج کاوش
کاوش غم
غم ہجراں
ہجراں ہوا
ہوا اسدؔ
سینہ کہ
کہ تھا
تھا دفینہ
دفینہ گہر
گہر ہائے
ہائے راز
راز کا
سراپا رہن
رہن عشق
عشق نا
نا گزیر
گزیر الفت
الفت ہستی
عبادت برق
برق کی
کی کرتا
کرتا ہوں
ہوں اور
اور افسوس
افسوس حاصل
حاصل کا
بقدر ظرف
ظرف ہے
ہے ساقی
ساقی خمار
خمار تشنہ
تشنہ کامی
کامی بھی
جو تو
تو دریاۓ
دریاۓ مے
مے ہے
ہے تو
تو میں
میں خمیازہ
خمیازہ ہوں
ہوں ساحل
ساحل کا
ز بس
بس خوں
خوں گشتۂ
گشتۂ رشک
رشک وفا
وفا تھا
تھا وہم
وہم بسمل
بسمل کا
چرایا زخم
زخم ہائے
ہائے دل
دل نے
نے پانی
پانی تیغ
تیغ قاتل
قاتل کا
نگاۂ چشم
چشم حاسد
حاسد وام
وام لے
لے اے
اے ذوق
ذوق خود
خود بینی
تماشائی ہوں
ہوں وحدت
وحدت خانۂ
خانۂ آئینۂ
آئینۂ دل
دل کا
شرر فرصت
فرصت نگہ
نگہ سامان
سامان یک
یک عالم
عالم چراغاں
چراغاں ہے
بہ قدر
قدر رنگ
رنگ یاں
یاں گردش
گردش میں
میں ہے
ہے پیمانہ
پیمانہ محفل
محفل کا
